x,y,z
0.00,-7532.14,1180.68
0.00,-7433.60,1180.74
0.00,-7335.07,1180.88
0.00,-7236.53,1181.06
0.00,-7138.00,1181.26
0.00,-7039.46,1181.48
0.00,-6940.93,1181.70
0.00,-6842.39,1181.94
0.00,-6743.85,1182.17
0.00,-6645.32,1182.41
0.00,-6546.78,1182.65
0.00,-6448.25,1182.88
0.00,-6349.71,1183.12
0.00,-6251.18,1183.36
0.00,-6152.64,1183.60
0.00,-6054.11,1183.84
0.00,-5955.57,1184.08
0.00,-5857.04,1184.31
0.00,-5758.50,1184.55
0.00,-5659.97,1184.79
0.00,-5561.43,1185.03
0.00,-5462.90,1185.27
0.00,-5364.36,1185.50
0.00,-5265.83,1185.74
0.00,-5167.29,1185.98
0.00,-5068.76,1186.22
0.00,-4970.22,1186.46
0.00,-4871.69,1186.69
0.00,-4773.15,1186.93
0.00,-4674.62,1187.17
0.00,-4576.08,1187.41
9.68,-4478.25,1187.66
45.06,-4386.65,1187.93
103.95,-4307.94,1188.22
177.64,-4242.70,1188.51
255.92,-4182.86,1188.81
330.49,-4118.48,1189.10
405.36,-4054.44,1189.40
480.70,-3990.94,1189.70
555.99,-3927.37,1190.00
631.08,-3863.56,1190.30
706.20,-3799.80,1190.60
781.31,-3736.02,1190.90
856.40,-3672.22,1191.20
931.49,-3608.42,1191.50
1006.58,-3544.62,1191.81
1081.67,-3480.82,1192.11
1156.76,-3417.02,1192.41
1231.86,-3353.21,1192.71
1306.95,-3289.41,1193.01
1382.04,-3225.61,1193.31
1457.13,-3161.81,1193.61
1532.22,-3098.01,1193.91
1607.31,-3034.21,1194.21
1682.40,-2970.41,1194.51
1757.50,-2906.61,1194.81
1832.59,-2842.80,1195.12
1907.68,-2779.00,1195.42
1982.77,-2715.20,1195.72
2057.86,-2651.40,1196.02
2132.95,-2587.60,1196.32
2208.04,-2523.80,1196.62
2283.13,-2460.00,1196.92
2358.22,-2396.20,1197.23
2433.31,-2332.39,1197.53
2508.40,-2268.59,1197.83
2583.49,-2204.79,1198.13
2658.58,-2140.99,1198.43
2733.68,-2077.19,1198.73
2808.77,-2013.39,1199.04
2883.86,-1949.59,1199.34
2958.95,-1885.79,1199.64
3034.04,-1821.98,1199.94
3109.13,-1758.18,1200.24
3184.22,-1694.38,1200.54
3259.31,-1630.58,1200.85
3334.40,-1566.78,1201.15
3409.49,-1502.98,1201.45
3484.58,-1439.18,1201.76
3559.67,-1375.38,1202.06
3634.76,-1311.57,1202.36
3709.85,-1247.77,1202.66
3784.97,-1184.01,1202.97
3860.07,-1120.22,1203.27
3935.17,-1056.42,1203.57
4010.26,-992.62,1203.88
4085.35,-928.82,1204.18
4160.45,-865.02,1204.48
4235.54,-801.22,1204.79
4310.63,-737.42,1205.09
4385.72,-673.62,1205.40
4460.82,-609.81,1205.70
4535.86,-545.96,1206.01
4602.00,-473.32,1206.30
4644.49,-384.82,1206.57
4662.10,-288.08,1206.82
4661.29,-189.62,1207.07
4656.81,-91.20,1207.32
4657.63,7.33,1207.56
4656.89,105.86,1207.80
4656.28,204.40,1208.04
4655.72,302.93,1208.28
4655.21,401.46,1208.52
4654.58,500.00,1208.76
4653.99,598.53,1209.00
4653.47,697.06,1209.24
4652.83,795.60,1209.48
4652.24,894.13,1209.72
4651.72,992.67,1209.96
4651.09,1091.20,1210.21
4650.49,1189.73,1210.45
4649.98,1288.27,1210.69
4649.34,1386.80,1210.93
4648.75,1485.33,1211.17
4648.23,1583.87,1211.41
4647.60,1682.40,1211.65
4647.00,1780.93,1211.89
4646.48,1879.47,1212.13
4645.85,1978.00,1212.37
4645.26,2076.53,1212.61
4644.74,2175.07,1212.85
4644.10,2273.60,1213.09
4643.51,2372.13,1213.33
4642.99,2470.66,1213.57
4642.36,2569.20,1213.81
4641.76,2667.73,1214.05
4641.24,2766.26,1214.29
4640.61,2864.80,1214.53
4640.02,2963.33,1214.77
4639.50,3061.86,1215.01
4638.86,3160.39,1215.26
4638.27,3258.93,1215.50
4637.75,3357.46,1215.74
4637.12,3455.99,1215.98
4636.52,3554.53,1216.22
4636.01,3653.06,1216.46
4635.37,3751.59,1216.70
4634.78,3850.12,1216.94
4634.26,3948.66,1217.18
4633.63,4047.19,1217.42
4633.03,4145.73,1217.66
4632.51,4244.26,1217.90
4631.88,4342.79,1218.14
4631.29,4441.33,1218.38
4630.77,4539.86,1218.62
4630.13,4638.39,1218.86
4629.54,4736.93,1219.10
4629.02,4835.46,1219.34
4628.39,4933.99,1219.58
4627.79,5032.53,1219.82
4627.28,5131.06,1220.06
4626.64,5229.59,1220.31
4626.05,5328.13,1220.55
4625.53,5426.66,1220.79
4624.90,5525.19,1221.03
4624.30,5623.73,1221.27
4623.78,5722.26,1221.51
4623.15,5820.79,1221.75
4622.56,5919.32,1221.99
4622.04,6017.86,1222.23
4621.40,6116.39,1222.47
4620.81,6214.92,1222.71
4620.29,6313.46,1222.95
4619.66,6411.99,1223.19
4619.06,6510.52,1223.43
4618.55,6609.06,1223.67
4617.91,6707.59,1223.91
4617.32,6806.12,1224.15
4616.80,6904.66,1224.39
4616.17,7003.19,1224.63
4615.57,7101.73,1224.87
4615.05,7200.26,1225.11
4614.42,7298.79,1225.36
4613.83,7397.33,1225.60
4613.31,7495.86,1225.84
4612.67,7594.39,1226.08
4612.08,7692.93,1226.32
4611.56,7791.46,1226.56
4610.93,7889.99,1226.80
