x,y,z
82.08,7493.29,1103.59
81.38,7429.53,1103.61
80.68,7365.77,1103.65
79.98,7302.01,1103.71
79.28,7238.25,1103.77
78.59,7174.49,1103.83
77.89,7110.73,1103.90
77.19,7046.97,1103.97
76.49,6983.21,1104.05
75.79,6919.45,1104.12
75.09,6855.69,1104.19
74.40,6791.93,1104.26
73.70,6728.17,1104.33
73.00,6664.41,1104.41
72.30,6600.65,1104.48
71.60,6536.89,1104.55
70.90,6473.13,1104.62
70.21,6409.37,1104.69
69.51,6345.61,1104.77
68.81,6281.85,1104.84
68.11,6218.09,1104.91
67.41,6154.33,1104.98
66.71,6090.57,1105.05
66.02,6026.81,1105.13
65.32,5963.05,1105.20
64.62,5899.29,1105.27
63.92,5835.53,1105.34
63.22,5771.77,1105.41
62.52,5708.01,1105.49
61.82,5644.25,1105.56
61.13,5580.49,1105.63
60.43,5516.73,1105.70
59.73,5452.97,1105.78
59.03,5389.21,1105.85
58.33,5325.45,1105.92
57.63,5261.69,1105.99
56.94,5197.94,1106.06
56.24,5134.18,1106.14
55.54,5070.42,1106.21
54.84,5006.66,1106.28
54.14,4942.90,1106.35
53.44,4879.14,1106.42
52.75,4815.38,1106.50
52.05,4751.62,1106.57
51.35,4687.86,1106.64
50.65,4624.10,1106.71
49.95,4560.34,1106.78
49.25,4496.58,1106.86
48.56,4432.82,1106.93
47.86,4369.06,1107.00
47.16,4305.30,1107.07
46.46,4241.54,1107.14
45.76,4177.78,1107.22
45.06,4114.02,1107.29
44.37,4050.26,1107.36
43.67,3986.50,1107.43
42.97,3922.74,1107.50
42.27,3858.98,1107.58
41.57,3795.22,1107.65
40.87,3731.46,1107.72
40.17,3667.70,1107.79
39.48,3603.94,1107.86
38.78,3540.18,1107.94
38.08,3476.42,1108.01
37.38,3412.66,1108.08
36.68,3348.90,1108.15
35.98,3285.14,1108.22
35.29,3221.38,1108.30
34.59,3157.62,1108.37
33.89,3093.86,1108.44
33.19,3030.10,1108.51
32.49,2966.34,1108.58
31.79,2902.58,1108.66
31.10,2838.82,1108.73
30.40,2775.06,1108.80
29.70,2711.30,1108.87
29.00,2647.54,1108.94
28.30,2583.78,1109.02
27.60,2520.02,1109.09
26.91,2456.27,1109.16
26.21,2392.51,1109.23
25.51,2328.75,1109.30
24.81,2264.99,1109.38
24.11,2201.23,1109.45
23.41,2137.47,1109.52
22.71,2073.71,1109.59
22.02,2009.95,1109.66
21.32,1946.19,1109.74
20.62,1882.42,1109.81
19.92,1818.66,1109.88
19.22,1754.90,1109.95
18.52,1691.14,1110.02
17.83,1627.38,1110.10
17.13,1563.62,1110.17
16.43,1499.86,1110.24
15.73,1436.10,1110.31
15.03,1372.34,1110.38
14.33,1308.58,1110.46
13.64,1244.81,1110.53
12.94,1181.05,1110.60
12.24,1117.29,1110.67
11.54,1053.53,1110.74
10.84,989.77,1110.82
10.14,926.01,1110.89
9.44,862.25,1110.96
8.75,798.49,1111.03
8.05,734.73,1111.10
7.35,670.97,1111.18
6.65,607.20,1111.25
5.95,543.44,1111.32
5.25,479.68,1111.39
4.56,415.92,1111.46
3.86,352.16,1111.54
3.16,288.40,1111.61
2.46,224.64,1111.68
1.76,160.88,1111.75
1.06,97.12,1111.82
0.37,33.36,1111.90
