x,y,z
0.00,-7532.14,1180.68
0.00,-7433.60,1180.74
0.00,-7335.07,1180.88
0.00,-7236.53,1181.06
0.00,-7138.00,1181.26
0.00,-7039.46,1181.48
0.00,-6940.93,1181.70
0.00,-6842.39,1181.94
0.00,-6743.85,1182.17
0.00,-6645.32,1182.41
0.00,-6546.78,1182.65
0.00,-6448.25,1182.88
0.00,-6349.71,1183.12
0.00,-6251.18,1183.36
0.00,-6152.64,1183.60
0.00,-6054.11,1183.84
0.00,-5955.57,1184.08
0.00,-5857.04,1184.31
0.00,-5758.50,1184.55
0.00,-5659.97,1184.79
0.00,-5561.43,1185.03
0.00,-5462.90,1185.27
0.00,-5364.36,1185.50
0.00,-5265.83,1185.74
0.00,-5167.29,1185.98
0.00,-5068.76,1186.22
0.00,-4970.22,1186.46
0.00,-4871.69,1186.69
0.00,-4773.15,1186.93
0.00,-4674.62,1187.17
0.00,-4576.08,1187.41
0.00,-4477.55,1187.65
0.00,-4379.01,1187.88
0.00,-4280.48,1188.12
0.00,-4181.94,1188.36
0.00,-4083.41,1188.60
0.00,-3984.87,1188.84
0.00,-3886.34,1189.07
0.00,-3787.80,1189.31
0.00,-3689.27,1189.55
0.00,-3590.73,1189.79
0.00,-3492.19,1190.03
0.00,-3393.66,1190.26
0.00,-3295.12,1190.50
0.00,-3196.59,1190.74
0.00,-3098.05,1190.98
0.00,-2999.52,1191.22
0.00,-2900.98,1191.45
0.00,-2802.45,1191.69
0.00,-2703.91,1191.93
0.00,-2605.38,1192.17
0.00,-2506.84,1192.41
0.00,-2408.31,1192.64
0.00,-2309.77,1192.88
0.00,-2211.24,1193.12
0.00,-2112.70,1193.36
0.00,-2014.17,1193.60
0.00,-1915.63,1193.83
0.00,-1817.09,1194.07
0.00,-1718.56,1194.31
0.00,-1620.02,1194.55
0.00,-1521.49,1194.79
0.00,-1422.95,1195.02
0.00,-1324.41,1195.26
0.00,-1225.88,1195.50
0.00,-1127.34,1195.74
0.00,-1028.80,1195.98
0.00,-930.27,1196.21
0.00,-831.73,1196.45
0.00,-733.20,1196.69
0.00,-634.66,1196.93
0.00,-536.12,1197.17
0.00,-437.59,1197.41
0.00,-339.05,1197.64
0.00,-240.52,1197.88
0.00,-141.98,1198.12
0.00,-43.45,1198.36
