x,y,z
0.00,9990.00,1000.00
0.00,9890.00,1000.00
0.00,9790.00,1000.00
0.00,9690.00,1000.00
0.00,9590.00,1000.00
0.00,9490.00,1000.00
0.00,9390.00,1000.00
0.00,9290.00,1000.00
0.00,9190.00,1000.00
0.00,9090.00,1000.00
0.00,8990.00,1000.00
0.00,8890.00,1000.00
0.00,8790.00,1000.00
0.00,8690.00,1000.00
0.00,8590.00,1000.00
0.00,8490.00,1000.00
0.00,8390.00,1000.00
0.00,8290.00,1000.00
0.00,8190.00,1000.00
0.00,8090.00,1000.00
0.00,7990.00,1000.00
0.00,7890.00,1000.00
0.00,7790.00,1000.00
0.00,7690.00,1000.00
0.00,7590.00,1000.00
0.00,7490.00,1000.00
0.00,7390.00,1000.00
0.00,7290.00,1000.00
0.00,7190.00,1000.00
0.00,7090.00,1000.00
0.00,6990.00,1000.00
0.00,6890.00,1000.00
0.00,6790.00,1000.00
0.00,6690.00,1000.00
0.00,6590.00,1000.00
0.00,6490.00,1000.00
0.00,6390.00,1000.00
0.00,6290.00,1000.00
0.00,6190.00,1000.00
0.00,6090.00,1000.00
-2.65,5990.05,1000.00
-15.09,5890.89,1000.00
-39.91,5794.08,1000.00
-67.67,5698.02,1000.00
-92.42,5601.13,1000.00
-118.88,5504.70,1000.00
-144.70,5408.09,1000.00
-170.68,5311.53,1000.00
-196.60,5214.94,1000.00
-222.47,5118.35,1000.00
-248.39,5021.77,1000.00
-274.28,4925.18,1000.00
-300.14,4828.58,1000.00
-326.06,4732.00,1000.00
-351.96,4635.41,1000.00
-377.82,4538.81,1000.00
-403.74,4442.22,1000.00
-429.63,4345.64,1000.00
-455.49,4249.04,1000.00
-481.41,4152.45,1000.00
-507.30,4055.87,1000.00
-533.16,3959.27,1000.00
-559.08,3862.68,1000.00
-584.98,3766.10,1000.00
-610.84,3669.50,1000.00
-636.76,3572.92,1000.00
-662.65,3476.33,1000.00
-688.51,3379.73,1000.00
-714.43,3283.15,1000.00
-740.32,3186.56,1000.00
-766.18,3089.96,1000.00
-792.10,2993.38,1000.00
-818.00,2896.79,1000.00
-843.86,2800.19,1000.00
-869.78,2703.61,1000.00
-895.67,2607.02,1000.00
-921.53,2510.43,1000.00
-947.45,2413.84,1000.00
-973.34,2317.26,1000.00
-999.20,2220.66,1000.00
-1025.12,2124.08,1000.00
-1051.02,2027.49,1000.00
-1076.88,1930.89,1000.00
