x,y,z
0.00,-41782.40,4763.87
0.00,-41676.89,4763.87
0.00,-41571.38,4763.85
0.00,-41465.88,4763.83
0.00,-41360.37,4763.81
0.00,-41254.86,4763.79
0.00,-41149.35,4763.76
0.00,-41043.84,4763.74
0.00,-40938.34,4763.71
0.00,-40832.83,4763.69
0.00,-40727.32,4763.66
0.00,-40621.81,4763.64
0.00,-40516.30,4763.62
0.00,-40410.80,4763.59
0.00,-40305.29,4763.57
0.00,-40199.78,4763.54
0.00,-40094.27,4763.52
0.00,-39988.77,4763.49
0.00,-39883.26,4763.47
0.00,-39777.75,4763.44
0.00,-39672.24,4763.42
0.00,-39566.73,4763.40
0.00,-39461.23,4763.37
0.00,-39355.72,4763.35
0.00,-39250.21,4763.32
0.00,-39144.70,4763.30
0.00,-39039.20,4763.27
0.00,-38933.69,4763.25
0.00,-38828.18,4763.22
0.00,-38722.67,4763.20
0.00,-38617.16,4763.18
0.00,-38511.66,4763.15
0.00,-38406.15,4763.13
0.00,-38300.64,4763.10
0.00,-38195.13,4763.08
0.00,-38089.62,4763.05
0.00,-37984.12,4763.03
0.00,-37878.61,4763.00
0.00,-37773.10,4762.98
0.00,-37667.59,4762.96
0.00,-37562.09,4762.93
0.00,-37456.58,4762.91
0.00,-37351.07,4762.88
0.00,-37245.56,4762.86
0.00,-37140.05,4762.83
0.00,-37034.55,4762.81
0.00,-36929.04,4762.79
0.00,-36823.53,4762.76
0.00,-36718.02,4762.74
0.00,-36612.52,4762.71
0.00,-36507.01,4762.69
0.00,-36401.50,4762.66
0.00,-36295.99,4762.64
0.00,-36190.48,4762.61
0.00,-36084.98,4762.59
0.00,-35979.47,4762.57
0.00,-35873.96,4762.54
0.00,-35768.45,4762.52
0.00,-35662.95,4762.49
0.00,-35557.44,4762.47
0.00,-35451.93,4762.44
0.00,-35346.42,4762.42
0.00,-35240.91,4762.39
0.00,-35135.41,4762.37
0.00,-35029.90,4762.35
0.00,-34924.39,4762.32
0.00,-34818.88,4762.30
0.00,-34713.38,4762.27
0.00,-34607.87,4762.25
0.00,-34502.36,4762.22
0.00,-34396.85,4762.20
0.00,-34291.34,4762.17
0.00,-34185.84,4762.15
0.00,-34080.33,4762.13
0.00,-33974.82,4762.10
0.00,-33869.31,4762.08
0.00,-33763.80,4762.05
0.00,-33658.30,4762.03
0.00,-33552.79,4762.00
0.00,-33447.28,4761.98
0.00,-33341.77,4761.96
0.00,-33236.27,4761.93
0.00,-33130.76,4761.91
0.00,-33025.25,4761.88
0.00,-32919.74,4761.86
0.00,-32814.23,4761.83
0.00,-32708.73,4761.81
0.00,-32603.22,4761.78
0.00,-32497.71,4761.76
0.00,-32392.20,4761.74
0.00,-32286.70,4761.71
0.00,-32181.19,4761.69
0.00,-32075.68,4761.66
0.00,-31970.17,4761.64
0.00,-31864.66,4761.61
0.00,-31759.16,4761.59
0.00,-31653.65,4761.56
0.00,-31548.14,4761.54
0.00,-31442.63,4761.52
0.00,-31337.12,4761.49
0.00,-31231.62,4761.47
0.00,-31126.11,4761.44
0.00,-31020.60,4761.42
0.00,-30915.09,4761.39
0.00,-30809.59,4761.37
0.00,-30704.08,4761.34
0.00,-30598.57,4761.32
0.00,-30493.06,4761.30
0.00,-30387.55,4761.27
0.00,-30282.05,4761.25
0.00,-30176.54,4761.22
0.00,-30071.03,4761.20
0.00,-29965.52,4761.17
0.00,-29860.02,4761.15
0.00,-29754.51,4761.12
0.00,-29649.00,4761.10
0.00,-29543.49,4761.08
0.00,-29437.98,4761.05
0.00,-29332.48,4761.03
0.00,-29226.97,4761.00
0.00,-29121.46,4760.98
0.00,-29015.95,4760.95
0.00,-28910.45,4760.93
0.00,-28804.94,4760.91
0.00,-28699.43,4760.88
0.00,-28593.92,4760.86
0.00,-28488.41,4760.83
0.00,-28382.91,4760.81
0.00,-28277.40,4760.78
0.00,-28171.89,4760.76
0.00,-28066.38,4760.73
0.00,-27960.88,4760.71
0.00,-27855.37,4760.69
0.00,-27749.86,4760.66
0.00,-27644.35,4760.64
0.00,-27538.84,4760.61
0.00,-27433.34,4760.59
0.00,-27327.83,4760.56
0.00,-27222.32,4760.54
0.00,-27116.81,4760.51
0.00,-27011.30,4760.49
0.00,-26905.80,4760.47
0.00,-26800.29,4760.44
0.00,-26694.78,4760.42
0.00,-26589.27,4760.39
0.00,-26483.77,4760.37
0.00,-26378.26,4760.34
0.00,-26272.75,4760.32
0.00,-26167.24,4760.29
0.00,-26061.73,4760.27
0.00,-25956.23,4760.25
0.00,-25850.72,4760.22
0.00,-25745.21,4760.20
-2.37,-25639.73,4760.17
-5.39,-25534.26,4760.15
-8.30,-25428.78,4760.12
-11.32,-25323.31,4760.10
-14.23,-25217.84,4760.08
-16.96,-25112.36,4760.05
-19.85,-25006.89,4760.03
-22.74,-24901.42,4760.00
-25.64,-24795.96,4759.98
-28.53,-24690.49,4759.95
-31.42,-24585.02,4759.93
-34.32,-24479.55,4759.90
-37.21,-24374.08,4759.88
-40.10,-24268.61,4759.86
-43.00,-24163.14,4759.83
-45.89,-24057.67,4759.81
-48.79,-23952.21,4759.78
-51.68,-23846.74,4759.76
-54.57,-23741.27,4759.73
-57.47,-23635.80,4759.71
-60.36,-23530.33,4759.68
-63.25,-23424.86,4759.66
-66.15,-23319.39,4759.64
-69.04,-23213.92,4759.61
-71.93,-23108.46,4759.59
-74.83,-23002.99,4759.56
-77.72,-22897.52,4759.54
-80.61,-22792.05,4759.51
-83.51,-22686.58,4759.49
-86.40,-22581.11,4759.46
-89.30,-22475.64,4759.44
-92.19,-22370.17,4759.42
-95.08,-22264.71,4759.39
-97.98,-22159.24,4759.37
-100.87,-22053.77,4759.34
-103.76,-21948.30,4759.32
-106.66,-21842.83,4759.29
-109.55,-21737.36,4759.27
-112.44,-21631.89,4759.25
-115.34,-21526.42,4759.22
-118.23,-21420.96,4759.20
-121.13,-21315.49,4759.17
-124.02,-21210.02,4759.15
-126.91,-21104.55,4759.13
-129.81,-20999.08,4759.11
-132.70,-20893.61,4759.09
-135.59,-20788.14,4759.07
-138.49,-20682.67,4759.05
-141.38,-20577.21,4759.03
-144.27,-20471.74,4759.01
-147.17,-20366.27,4758.99
-150.06,-20260.80,4758.97
-152.95,-20155.33,4758.95
-155.85,-20049.86,4758.93
-158.74,-19944.39,4758.91
-161.63,-19838.92,4758.89
-164.53,-19733.46,4758.87
-167.42,-19627.99,4758.85
-170.32,-19522.52,4758.84
-173.21,-19417.05,4758.82
-176.10,-19311.58,4758.80
-179.00,-19206.11,4758.78
-181.89,-19100.64,4758.76
-184.78,-18995.17,4758.74
-187.68,-18889.71,4758.72
-190.57,-18784.24,4758.70
-193.46,-18678.77,4758.68
-196.36,-18573.30,4758.66
-199.25,-18467.83,4758.64
-202.14,-18362.36,4758.62
-205.04,-18256.89,4758.60
-207.93,-18151.42,4758.58
-210.82,-18045.96,4758.56
-213.72,-17940.49,4758.54
-216.61,-17835.02,4758.52
-219.51,-17729.55,4758.50
-222.40,-17624.08,4758.48
-225.29,-17518.61,4758.46
-228.19,-17413.14,4758.44
-231.08,-17307.67,4758.43
-233.97,-17202.21,4758.41
-236.87,-17096.74,4758.39
-239.76,-16991.27,4758.37
-242.65,-16885.80,4758.35
-245.55,-16780.33,4758.33
-248.44,-16674.86,4758.31
-251.33,-16569.39,4758.29
-254.23,-16463.92,4758.27
-257.12,-16358.45,4758.25
-260.01,-16252.97,4758.23
-262.91,-16147.50,4758.21
-265.80,-16042.02,4758.19
-268.70,-15936.54,4758.17
-271.59,-15831.06,4758.15
-274.48,-15725.58,4758.13
-277.38,-15620.10,4758.11
-280.27,-15514.62,4758.09
-283.16,-15409.15,4758.07
-286.06,-15303.67,4758.05
-288.95,-15198.19,4758.03
-291.85,-15092.71,4758.02
-294.74,-14987.23,4758.00
-297.63,-14881.75,4757.98
-300.53,-14776.27,4757.96
-303.42,-14670.80,4757.94
-306.31,-14565.32,4757.92
-309.21,-14459.84,4757.90
-312.10,-14354.36,4757.88
-314.99,-14248.88,4757.86
-317.89,-14143.40,4757.84
-320.78,-14037.92,4757.82
-323.68,-13932.45,4757.80
-326.57,-13826.97,4757.78
-329.46,-13721.49,4757.76
-332.36,-13616.01,4757.74
-335.25,-13510.53,4757.72
-338.14,-13405.05,4757.70
-341.04,-13299.58,4757.68
-343.93,-13194.10,4757.66
-346.82,-13088.62,4757.64
-349.72,-12983.14,4757.62
-352.61,-12877.66,4757.60
-355.51,-12772.18,4757.59
-358.40,-12666.70,4757.57
-361.29,-12561.23,4757.55
-364.19,-12455.75,4757.53
-367.08,-12350.27,4757.51
-369.97,-12244.79,4757.49
-372.87,-12139.31,4757.47
-375.76,-12033.83,4757.45
-378.66,-11928.35,4757.43
-381.55,-11822.88,4757.41
-384.44,-11717.40,4757.39
-387.34,-11611.92,4757.37
-390.23,-11506.44,4757.35
-393.12,-11400.96,4757.33
-396.02,-11295.48,4757.31
-398.91,-11190.00,4757.29
-401.80,-11084.53,4757.27
-404.70,-10979.05,4757.25
-407.59,-10873.57,4757.23
-410.49,-10768.09,4757.21
-413.38,-10662.61,4757.19
-416.27,-10557.13,4757.18
-419.17,-10451.66,4757.16
-422.06,-10346.18,4757.14
-424.95,-10240.70,4757.12
-427.85,-10135.22,4757.10
-430.74,-10029.74,4757.08
-433.64,-9924.26,4757.06
-436.53,-9818.78,4757.04
-439.42,-9713.31,4757.02
-442.32,-9607.83,4757.00
-445.21,-9502.35,4756.98
-448.10,-9396.87,4756.96
-451.00,-9291.39,4756.94
-453.89,-9185.91,4756.92
-456.78,-9080.43,4756.90
-459.68,-8974.96,4756.88
-462.57,-8869.48,4756.86
-465.47,-8764.00,4756.84
-468.36,-8658.52,4756.82
-471.25,-8553.04,4756.80
-474.15,-8447.56,4756.78
-477.04,-8342.08,4756.77
-479.93,-8236.61,4756.75
-482.83,-8131.13,4756.73
-485.72,-8025.65,4756.71
-488.62,-7920.17,4756.69
-491.51,-7814.69,4756.67
-494.40,-7709.21,4756.65
-497.30,-7603.74,4756.63
-500.19,-7498.26,4756.61
-503.08,-7392.78,4756.59
-505.98,-7287.30,4756.57
-508.87,-7181.82,4756.55
-511.76,-7076.34,4756.53
-514.66,-6970.86,4756.51
-517.55,-6865.39,4756.49
-520.45,-6759.91,4756.47
-523.34,-6654.43,4756.45
-526.23,-6548.95,4756.43
-529.13,-6443.47,4756.41
-532.02,-6337.99,4756.39
-534.91,-6232.51,4756.37
-537.81,-6127.04,4756.35
-540.70,-6021.56,4756.34
-543.59,-5916.08,4756.32
-546.49,-5810.60,4756.30
-549.38,-5705.12,4756.28
-552.28,-5599.64,4756.26
-555.17,-5494.17,4756.24
-558.06,-5388.69,4756.22
-560.96,-5283.21,4756.20
-563.85,-5177.73,4756.18
-566.74,-5072.25,4756.16
-569.64,-4966.77,4756.14
-572.53,-4861.29,4756.12
-575.43,-4755.82,4756.10
-578.32,-4650.34,4756.08
-581.21,-4544.86,4756.06
-584.11,-4439.38,4756.04
-587.00,-4333.90,4756.02
-589.89,-4228.42,4756.00
-592.79,-4122.94,4755.98
-595.68,-4017.47,4755.96
-598.57,-3911.99,4755.94
-601.47,-3806.51,4755.93
-604.36,-3701.03,4755.91
-607.26,-3595.55,4755.89
-610.15,-3490.07,4755.87
-613.04,-3384.59,4755.85
-615.94,-3279.12,4755.83
-618.83,-3173.64,4755.81
-621.72,-3068.16,4755.79
-624.62,-2962.68,4755.77
-627.51,-2857.20,4755.75
-630.41,-2751.72,4755.73
-633.30,-2646.25,4755.71
-636.19,-2540.77,4755.69
-639.09,-2435.29,4755.67
-641.98,-2329.81,4755.65
-644.87,-2224.33,4755.63
-647.77,-2118.85,4755.61
-650.66,-2013.37,4755.59
-653.55,-1907.90,4755.57
-656.45,-1802.42,4755.55
-659.34,-1696.94,4755.53
-662.24,-1591.47,4755.52
-665.13,-1485.99,4755.50
-668.02,-1380.51,4755.48
-670.92,-1275.03,4755.46
-673.81,-1169.56,4755.44
-676.70,-1064.08,4755.42
-679.60,-958.60,4755.40
-682.49,-853.12,4755.38
-685.39,-747.65,4755.36
-688.28,-642.17,4755.34
-691.17,-536.69,4755.32
-694.07,-431.21,4755.30
-696.96,-325.73,4755.28
-699.85,-220.26,4755.26
-702.75,-114.78,4755.24
-705.61,-9.30,4755.22
-708.49,96.18,4755.20
-711.35,201.66,4755.18
-714.26,307.13,4755.16
-717.13,412.61,4755.14
-720.04,518.09,4755.12
-722.92,623.57,4755.10
-725.83,729.04,4755.09
-728.71,834.52,4755.06
-731.62,940.00,4755.04
-734.49,1045.48,4755.02
-737.40,1150.95,4754.99
-740.28,1256.43,4754.97
-743.19,1361.91,4754.94
-746.07,1467.39,4754.92
-748.98,1572.86,4754.89
-751.86,1678.34,4754.87
-754.77,1783.82,4754.84
-757.64,1889.30,4754.82
-760.55,1994.77,4754.80
-763.43,2100.25,4754.77
-766.34,2205.73,4754.75
-769.22,2311.21,4754.72
-772.13,2416.68,4754.70
-775.01,2522.16,4754.67
-777.92,2627.64,4754.65
-780.79,2733.12,4754.62
-783.70,2838.59,4754.60
-786.58,2944.07,4754.58
-789.49,3049.55,4754.55
-792.37,3155.03,4754.53
-795.28,3260.51,4754.50
-798.16,3365.98,4754.48
-801.06,3471.46,4754.45
-803.94,3576.94,4754.43
-806.85,3682.42,4754.40
-809.73,3787.90,4754.38
-812.64,3893.37,4754.36
-815.52,3998.85,4754.33
-818.43,4104.33,4754.31
-821.30,4209.81,4754.29
-824.21,4315.28,4754.27
-827.09,4420.76,4754.25
-829.21,4526.25,4754.23
-828.23,4631.76,4754.21
-828.50,4737.28,4754.18
-828.65,4842.79,4754.16
-828.69,4948.31,4754.13
-828.55,5053.82,4754.11
-828.33,5159.34,4754.09
-828.13,5264.85,4754.06
-828.09,5370.37,4754.04
-828.13,5475.89,4754.01
-828.14,5581.40,4753.99
-827.99,5686.92,4753.96
-827.76,5792.44,4753.94
-827.56,5897.95,4753.92
-827.52,6003.47,4753.89
-827.56,6108.98,4753.87
-827.56,6214.50,4753.84
-827.41,6320.01,4753.82
-827.18,6425.53,4753.79
-826.99,6531.04,4753.77
-826.94,6636.56,4753.74
-826.98,6742.08,4753.72
-826.99,6847.59,4753.70
-826.84,6953.11,4753.67
-826.61,7058.63,4753.65
-826.41,7164.14,4753.62
-826.37,7269.66,4753.60
-826.41,7375.17,4753.57
-826.42,7480.69,4753.55
-826.27,7586.21,4753.52
-826.04,7691.72,4753.50
-825.84,7797.24,4753.48
-825.80,7902.75,4753.45
-825.84,8008.27,4753.43
-825.84,8113.78,4753.40
-825.69,8219.30,4753.38
-825.46,8324.82,4753.35
-825.27,8430.33,4753.33
-825.22,8535.85,4753.30
-825.26,8641.37,4753.28
-825.27,8746.89,4753.26
-825.12,8852.41,4753.23
-824.89,8957.92,4753.21
-824.69,9063.44,4753.18
-824.65,9168.96,4753.16
-824.69,9274.48,4753.13
-824.70,9379.99,4753.11
-824.55,9485.51,4753.08
-824.32,9591.03,4753.06
-824.12,9696.55,4753.04
-824.08,9802.06,4753.01
-824.12,9907.58,4752.99
-824.12,10013.10,4752.96
-823.97,10118.62,4752.94
-823.74,10224.13,4752.91
-823.55,10329.65,4752.89
-823.50,10435.17,4752.87
-823.54,10540.69,4752.84
-823.55,10646.20,4752.82
-823.40,10751.72,4752.79
-823.17,10857.24,4752.77
-822.97,10962.76,4752.74
-822.93,11068.27,4752.72
-822.97,11173.79,4752.69
-822.98,11279.31,4752.67
-822.83,11384.83,4752.65
-822.60,11490.34,4752.62
-822.40,11595.86,4752.60
-822.36,11701.38,4752.57
-822.40,11806.90,4752.55
-822.40,11912.42,4752.52
-822.25,12017.93,4752.50
-822.02,12123.45,4752.47
-821.83,12228.97,4752.45
-821.78,12334.49,4752.43
-821.82,12440.00,4752.40
-821.83,12545.52,4752.38
-821.68,12651.04,4752.35
-821.45,12756.56,4752.33
-821.25,12862.07,4752.30
-821.21,12967.59,4752.28
-821.25,13073.11,4752.25
-821.25,13178.63,4752.23
-821.11,13284.14,4752.21
-820.88,13389.66,4752.18
-820.68,13495.18,4752.16
-820.64,13600.70,4752.13
-820.68,13706.21,4752.11
-820.68,13811.73,4752.08
-820.53,13917.25,4752.06
-820.30,14022.77,4752.04
-820.11,14128.28,4752.01
-820.06,14233.80,4751.99
-820.10,14339.32,4751.96
-820.11,14444.84,4751.94
-819.96,14550.35,4751.91
-819.73,14655.87,4751.89
-819.53,14761.39,4751.86
-819.49,14866.91,4751.84
-819.53,14972.42,4751.82
-819.53,15077.94,4751.79
-819.39,15183.46,4751.77
-819.16,15288.98,4751.74
-818.96,15394.50,4751.72
-818.92,15500.01,4751.69
-818.96,15605.53,4751.67
-818.96,15711.05,4751.64
-818.81,15816.57,4751.62
-818.58,15922.08,4751.60
-818.39,16027.60,4751.57
-818.34,16133.12,4751.55
-818.38,16238.64,4751.52
-818.39,16344.15,4751.50
-818.24,16449.66,4751.47
-818.01,16555.17,4751.45
-817.81,16660.68,4751.42
-817.77,16766.19,4751.40
-817.81,16871.70,4751.38
-817.81,16977.20,4751.35
-817.67,17082.71,4751.33
-817.43,17188.22,4751.30
-817.24,17293.73,4751.28
-817.20,17399.23,4751.25
-817.24,17504.74,4751.23
-817.24,17610.25,4751.21
-817.09,17715.76,4751.18
-816.86,17821.27,4751.16
-816.67,17926.77,4751.13
-816.62,18032.28,4751.11
