x,y,z
0.00,-7493.74,1103.59
0.00,-7429.97,1103.61
0.00,-7366.21,1103.65
0.00,-7302.44,1103.71
0.00,-7238.68,1103.77
0.00,-7174.91,1103.83
0.00,-7111.15,1103.90
0.00,-7047.38,1103.97
0.00,-6983.62,1104.05
0.00,-6919.85,1104.12
0.00,-6856.09,1104.19
0.00,-6792.32,1104.26
0.00,-6728.56,1104.33
0.00,-6664.80,1104.41
0.00,-6601.03,1104.48
0.00,-6537.27,1104.55
0.00,-6473.50,1104.62
0.00,-6409.74,1104.69
0.00,-6345.97,1104.77
0.00,-6282.21,1104.84
0.00,-6218.44,1104.91
0.00,-6154.68,1104.98
0.00,-6090.91,1105.05
0.00,-6027.15,1105.13
0.00,-5963.38,1105.20
0.00,-5899.62,1105.27
0.00,-5835.85,1105.34
0.00,-5772.09,1105.41
0.00,-5708.33,1105.49
0.00,-5644.56,1105.56
0.00,-5580.80,1105.63
0.00,-5517.03,1105.70
0.00,-5453.27,1105.78
0.00,-5389.50,1105.85
0.00,-5325.74,1105.92
0.00,-5261.97,1105.99
0.00,-5198.21,1106.06
0.00,-5134.44,1106.14
0.00,-5070.68,1106.21
0.00,-5006.91,1106.28
0.00,-4943.15,1106.35
0.00,-4879.39,1106.42
0.00,-4815.62,1106.50
0.00,-4751.86,1106.57
0.00,-4688.09,1106.64
0.00,-4624.33,1106.71
6.53,-4561.06,1106.69
32.83,-4503.38,1106.53
76.97,-4457.66,1106.30
126.58,-4417.60,1106.03
172.18,-4373.09,1105.73
217.21,-4327.97,1105.41
263.18,-4283.79,1105.08
308.89,-4239.34,1104.74
354.38,-4194.65,1104.40
400.04,-4150.14,1104.06
445.76,-4105.70,1103.72
491.43,-4061.19,1103.37
537.08,-4016.67,1103.03
582.73,-3972.15,1102.68
628.38,-3927.64,1102.34
674.03,-3883.12,1101.99
719.68,-3838.60,1101.65
765.33,-3794.08,1101.31
810.98,-3749.56,1100.96
856.63,-3705.04,1100.62
902.28,-3660.52,1100.27
947.93,-3616.00,1099.93
993.58,-3571.48,1099.58
1039.23,-3526.96,1099.24
1084.88,-3482.45,1098.90
1130.53,-3437.93,1098.55
