x,y,z
0.00,-41782.40,4763.87
0.00,-41676.89,4763.87
0.00,-41571.38,4763.85
0.00,-41465.88,4763.83
0.00,-41360.37,4763.81
0.00,-41254.86,4763.79
0.00,-41149.35,4763.76
0.00,-41043.84,4763.74
0.00,-40938.34,4763.71
0.00,-40832.83,4763.69
0.00,-40727.32,4763.66
0.00,-40621.81,4763.64
0.00,-40516.30,4763.62
0.00,-40410.80,4763.59
0.00,-40305.29,4763.57
0.00,-40199.78,4763.54
0.00,-40094.27,4763.52
0.00,-39988.77,4763.49
0.00,-39883.26,4763.47
0.00,-39777.75,4763.44
0.00,-39672.24,4763.42
0.00,-39566.73,4763.40
0.00,-39461.23,4763.37
0.00,-39355.72,4763.35
0.00,-39250.21,4763.32
0.00,-39144.70,4763.30
0.00,-39039.20,4763.27
0.00,-38933.69,4763.25
0.00,-38828.18,4763.22
0.00,-38722.67,4763.20
0.00,-38617.16,4763.18
0.00,-38511.66,4763.15
0.00,-38406.15,4763.13
0.00,-38300.64,4763.10
0.00,-38195.13,4763.08
0.00,-38089.62,4763.05
0.00,-37984.12,4763.03
0.00,-37878.61,4763.00
0.00,-37773.10,4762.98
0.00,-37667.59,4762.96
0.00,-37562.09,4762.93
0.00,-37456.58,4762.91
0.00,-37351.07,4762.88
0.00,-37245.56,4762.86
0.00,-37140.05,4762.83
0.00,-37034.55,4762.81
0.00,-36929.04,4762.79
0.00,-36823.53,4762.76
0.00,-36718.02,4762.74
0.00,-36612.52,4762.71
0.00,-36507.01,4762.69
0.00,-36401.50,4762.66
0.00,-36295.99,4762.64
0.00,-36190.48,4762.61
0.00,-36084.98,4762.59
0.00,-35979.47,4762.57
0.00,-35873.96,4762.54
0.00,-35768.45,4762.52
0.00,-35662.95,4762.49
0.00,-35557.44,4762.47
0.00,-35451.93,4762.44
0.00,-35346.42,4762.42
0.00,-35240.91,4762.39
0.00,-35135.41,4762.37
0.00,-35029.90,4762.35
0.00,-34924.39,4762.32
0.00,-34818.88,4762.30
0.00,-34713.38,4762.27
0.00,-34607.87,4762.25
0.00,-34502.36,4762.22
0.00,-34396.85,4762.20
0.00,-34291.34,4762.17
0.00,-34185.84,4762.15
0.00,-34080.33,4762.13
0.00,-33974.82,4762.10
0.00,-33869.31,4762.08
0.00,-33763.80,4762.05
0.00,-33658.30,4762.03
0.00,-33552.79,4762.00
0.00,-33447.28,4761.98
0.00,-33341.77,4761.96
0.00,-33236.27,4761.93
0.00,-33130.76,4761.91
0.00,-33025.25,4761.88
0.00,-32919.74,4761.86
0.00,-32814.23,4761.83
0.00,-32708.73,4761.81
0.00,-32603.22,4761.78
0.00,-32497.71,4761.76
0.00,-32392.20,4761.74
0.00,-32286.70,4761.71
0.00,-32181.19,4761.69
0.00,-32075.68,4761.66
0.00,-31970.17,4761.64
0.00,-31864.66,4761.61
0.00,-31759.16,4761.59
0.00,-31653.65,4761.56
0.00,-31548.14,4761.54
0.00,-31442.63,4761.52
0.00,-31337.12,4761.49
0.00,-31231.62,4761.47
0.00,-31126.11,4761.44
0.00,-31020.60,4761.42
0.00,-30915.09,4761.39
0.00,-30809.59,4761.37
0.00,-30704.08,4761.34
0.00,-30598.57,4761.32
0.00,-30493.06,4761.30
0.00,-30387.55,4761.27
0.00,-30282.05,4761.25
0.00,-30176.54,4761.22
0.00,-30071.03,4761.20
0.00,-29965.52,4761.17
0.00,-29860.02,4761.15
0.00,-29754.51,4761.12
0.00,-29649.00,4761.10
0.00,-29543.49,4761.08
0.00,-29437.98,4761.05
0.00,-29332.48,4761.03
0.00,-29226.97,4761.00
0.00,-29121.46,4760.98
0.00,-29015.95,4760.95
0.00,-28910.45,4760.93
0.00,-28804.94,4760.91
0.00,-28699.43,4760.88
0.00,-28593.92,4760.86
0.00,-28488.41,4760.83
0.00,-28382.91,4760.81
0.00,-28277.40,4760.78
0.00,-28171.89,4760.76
0.00,-28066.38,4760.73
0.00,-27960.88,4760.71
0.00,-27855.37,4760.69
0.00,-27749.86,4760.66
0.00,-27644.35,4760.64
0.00,-27538.84,4760.61
0.00,-27433.34,4760.59
0.00,-27327.83,4760.56
0.00,-27222.32,4760.54
0.00,-27116.81,4760.51
0.00,-27011.30,4760.49
0.00,-26905.80,4760.47
0.00,-26800.29,4760.44
0.00,-26694.78,4760.42
0.00,-26589.27,4760.39
0.00,-26483.77,4760.37
0.00,-26378.26,4760.34
0.00,-26272.75,4760.32
0.00,-26167.24,4760.29
0.00,-26061.73,4760.27
0.00,-25956.23,4760.25
0.00,-25850.72,4760.22
0.00,-25745.21,4760.20
0.00,-25639.70,4760.17
0.00,-25534.20,4760.15
0.00,-25428.69,4760.12
0.00,-25323.18,4760.10
0.00,-25217.67,4760.08
0.00,-25112.16,4760.05
0.00,-25006.66,4760.03
0.00,-24901.15,4760.00
0.00,-24795.64,4759.98
0.00,-24690.13,4759.95
0.00,-24584.62,4759.93
0.00,-24479.12,4759.90
0.00,-24373.61,4759.88
0.00,-24268.10,4759.86
0.00,-24162.59,4759.83
0.00,-24057.09,4759.81
0.00,-23951.58,4759.78
0.00,-23846.07,4759.76
0.00,-23740.56,4759.73
0.00,-23635.05,4759.71
0.00,-23529.55,4759.68
0.00,-23424.04,4759.66
0.00,-23318.53,4759.64
0.00,-23213.02,4759.61
0.00,-23107.52,4759.59
0.00,-23002.01,4759.56
0.00,-22896.50,4759.54
0.00,-22790.99,4759.51
0.00,-22685.48,4759.49
0.00,-22579.98,4759.46
0.00,-22474.47,4759.44
0.00,-22368.96,4759.42
0.00,-22263.45,4759.39
0.00,-22157.95,4759.37
0.00,-22052.44,4759.34
0.00,-21946.93,4759.32
0.00,-21841.42,4759.29
0.00,-21735.91,4759.27
0.00,-21630.41,4759.25
0.00,-21524.90,4759.22
0.00,-21419.39,4759.20
0.00,-21313.88,4759.17
0.00,-21208.38,4759.15
0.00,-21102.87,4759.12
0.00,-20997.36,4759.10
0.00,-20891.85,4759.07
0.00,-20786.34,4759.05
0.00,-20680.84,4759.03
0.00,-20575.33,4759.00
0.00,-20469.82,4758.98
0.00,-20364.31,4758.95
0.00,-20258.80,4758.93
0.00,-20153.30,4758.90
0.00,-20047.79,4758.88
0.00,-19942.28,4758.85
0.00,-19836.77,4758.83
0.00,-19731.27,4758.81
0.00,-19625.76,4758.78
0.00,-19520.25,4758.76
0.00,-19414.74,4758.73
0.00,-19309.23,4758.71
0.00,-19203.73,4758.68
0.00,-19098.22,4758.66
0.00,-18992.71,4758.63
0.00,-18887.20,4758.61
0.00,-18781.70,4758.59
0.00,-18676.19,4758.56
0.00,-18570.68,4758.54
0.00,-18465.17,4758.51
0.00,-18359.66,4758.49
0.00,-18254.16,4758.46
0.00,-18148.65,4758.44
0.00,-18043.14,4758.42
0.00,-17937.63,4758.39
0.00,-17832.12,4758.37
0.00,-17726.62,4758.34
0.00,-17621.11,4758.32
0.00,-17515.60,4758.29
0.00,-17410.09,4758.27
0.00,-17304.59,4758.24
0.00,-17199.08,4758.22
0.00,-17093.57,4758.20
0.00,-16988.06,4758.17
0.00,-16882.55,4758.15
0.00,-16777.05,4758.12
0.00,-16671.54,4758.10
0.00,-16566.03,4758.07
0.00,-16460.52,4758.05
0.00,-16355.01,4758.02
0.00,-16249.50,4758.00
0.00,-16143.98,4757.98
0.00,-16038.46,4757.95
0.00,-15932.94,4757.93
0.00,-15827.42,4757.90
0.00,-15721.91,4757.88
0.00,-15616.39,4757.85
0.00,-15510.87,4757.83
0.00,-15405.35,4757.80
0.00,-15299.84,4757.78
0.00,-15194.32,4757.76
0.00,-15088.80,4757.73
0.00,-14983.28,4757.71
0.00,-14877.77,4757.68
0.00,-14772.25,4757.66
0.00,-14666.73,4757.63
0.00,-14561.21,4757.61
0.00,-14455.70,4757.58
0.00,-14350.18,4757.56
0.00,-14244.66,4757.54
0.00,-14139.14,4757.51
0.00,-14033.63,4757.49
0.00,-13928.11,4757.46
0.00,-13822.59,4757.44
0.00,-13717.07,4757.41
0.00,-13611.56,4757.39
0.00,-13506.04,4757.37
0.00,-13400.52,4757.34
0.00,-13295.00,4757.32
0.00,-13189.49,4757.29
0.00,-13083.97,4757.27
0.00,-12978.45,4757.24
0.00,-12872.93,4757.22
0.00,-12767.42,4757.19
0.00,-12661.90,4757.17
0.00,-12556.38,4757.15
0.00,-12450.86,4757.12
0.00,-12345.34,4757.10
0.00,-12239.83,4757.07
0.00,-12134.31,4757.05
0.00,-12028.79,4757.02
0.00,-11923.27,4757.00
0.00,-11817.76,4756.97
0.00,-11712.24,4756.95
0.00,-11606.72,4756.93
0.00,-11501.20,4756.90
0.00,-11395.69,4756.88
0.00,-11290.17,4756.85
0.00,-11184.65,4756.83
0.00,-11079.13,4756.80
0.00,-10973.62,4756.78
0.00,-10868.10,4756.75
0.00,-10762.58,4756.73
0.00,-10657.06,4756.71
0.00,-10551.55,4756.68
0.00,-10446.03,4756.66
0.00,-10340.51,4756.63
0.00,-10234.99,4756.61
0.00,-10129.48,4756.58
0.00,-10023.96,4756.56
0.00,-9918.44,4756.54
0.00,-9812.92,4756.51
0.00,-9707.41,4756.49
0.00,-9601.89,4756.46
0.00,-9496.37,4756.44
0.00,-9390.85,4756.41
0.00,-9285.33,4756.39
0.00,-9179.82,4756.36
0.00,-9074.30,4756.34
0.00,-8968.78,4756.32
0.00,-8863.26,4756.29
0.00,-8757.75,4756.27
0.00,-8652.23,4756.24
0.00,-8546.71,4756.22
0.00,-8441.19,4756.19
0.00,-8335.68,4756.17
0.00,-8230.16,4756.14
0.00,-8124.64,4756.12
0.00,-8019.12,4756.10
0.00,-7913.61,4756.07
0.00,-7808.09,4756.05
0.00,-7702.57,4756.02
0.00,-7597.05,4756.00
0.00,-7491.54,4755.97
0.00,-7386.02,4755.95
0.00,-7280.50,4755.92
0.00,-7174.98,4755.90
0.00,-7069.47,4755.88
0.00,-6963.95,4755.85
0.00,-6858.43,4755.83
0.00,-6752.91,4755.80
0.00,-6647.40,4755.78
0.00,-6541.88,4755.75
0.00,-6436.36,4755.73
0.00,-6330.84,4755.71
0.00,-6225.33,4755.68
0.00,-6119.81,4755.66
0.00,-6014.29,4755.63
0.00,-5908.77,4755.61
0.00,-5803.25,4755.58
0.00,-5697.74,4755.56
0.00,-5592.22,4755.53
0.00,-5486.70,4755.51
0.00,-5381.18,4755.49
0.00,-5275.67,4755.46
0.00,-5170.15,4755.44
0.00,-5064.63,4755.41
0.00,-4959.11,4755.39
0.00,-4853.60,4755.36
0.00,-4748.08,4755.34
0.00,-4642.56,4755.31
0.00,-4537.04,4755.29
0.00,-4431.53,4755.27
0.00,-4326.01,4755.24
0.00,-4220.49,4755.22
0.00,-4114.97,4755.19
0.00,-4009.46,4755.17
0.00,-3903.94,4755.14
0.00,-3798.42,4755.12
0.00,-3692.90,4755.09
0.00,-3587.39,4755.07
0.00,-3481.87,4755.05
0.00,-3376.35,4755.02
0.00,-3270.83,4755.00
0.00,-3165.32,4754.97
0.00,-3059.80,4754.95
0.00,-2954.28,4754.92
0.00,-2848.76,4754.90
0.00,-2743.25,4754.88
0.00,-2637.73,4754.85
0.00,-2532.21,4754.83
0.00,-2426.69,4754.80
0.00,-2321.17,4754.78
0.00,-2215.66,4754.75
0.00,-2110.14,4754.73
0.00,-2004.62,4754.70
0.00,-1899.10,4754.68
0.00,-1793.59,4754.66
0.00,-1688.07,4754.63
0.00,-1582.55,4754.61
0.00,-1477.03,4754.58
0.00,-1371.52,4754.56
0.00,-1266.00,4754.53
0.00,-1160.48,4754.51
0.00,-1054.96,4754.48
0.00,-949.45,4754.46
0.00,-843.93,4754.44
0.00,-738.41,4754.41
0.00,-632.89,4754.39
0.00,-527.38,4754.36
0.00,-421.86,4754.34
0.00,-316.34,4754.31
0.00,-210.82,4754.29
0.00,-105.31,4754.26
