x,y,z
82.08,7493.29,1103.59
81.38,7429.53,1103.61
80.68,7365.77,1103.65
79.98,7302.01,1103.71
79.28,7238.25,1103.77
78.59,7174.49,1103.83
77.89,7110.73,1103.90
77.19,7046.97,1103.97
76.49,6983.21,1104.05
75.79,6919.45,1104.12
75.09,6855.69,1104.19
74.40,6791.93,1104.26
73.70,6728.17,1104.33
73.00,6664.41,1104.41
72.30,6600.65,1104.48
71.60,6536.89,1104.55
70.90,6473.13,1104.62
70.21,6409.37,1104.69
69.51,6345.61,1104.77
68.81,6281.85,1104.84
68.11,6218.09,1104.91
67.41,6154.33,1104.98
66.71,6090.57,1105.05
66.02,6026.81,1105.13
65.32,5963.05,1105.20
64.62,5899.29,1105.27
63.92,5835.53,1105.34
63.22,5771.77,1105.41
62.52,5708.01,1105.49
61.82,5644.25,1105.56
61.13,5580.49,1105.63
60.43,5516.73,1105.70
59.73,5452.97,1105.78
59.03,5389.21,1105.85
58.33,5325.45,1105.92
57.63,5261.69,1105.99
56.94,5197.94,1106.06
56.24,5134.18,1106.14
55.54,5070.42,1106.21
54.84,5006.66,1106.28
54.14,4942.90,1106.35
53.44,4879.14,1106.42
52.75,4815.38,1106.50
52.05,4751.62,1106.57
51.35,4687.86,1106.64
50.65,4624.10,1106.71
44.66,4560.74,1106.87
19.90,4502.37,1107.14
-22.84,4455.34,1107.48
-72.11,4414.87,1107.87
-117.90,4370.55,1108.27
-163.18,4325.68,1108.69
-209.22,4281.56,1109.12
-255.05,4237.24,1109.56
-300.99,4193.02,1110.00
-346.92,4148.78,1110.44
-392.82,4104.53,1110.88
-438.75,4060.29,1111.33
-484.67,4016.06,1111.77
-530.60,3971.82,1112.21
-576.54,3927.61,1112.66
-622.46,3883.37,1113.10
-668.36,3839.10,1113.54
-714.28,3794.86,1113.98
-760.19,3750.61,1114.43
-806.10,3706.37,1114.87
-852.03,3662.14,1115.31
-897.94,3617.88,1115.76
-943.86,3573.65,1116.20
-989.79,3529.41,1116.64
-1035.71,3485.18,1117.09
-1081.65,3440.96,1117.53
-1127.58,3396.73,1117.97
-1173.47,3352.46,1118.42
-1219.39,3308.22,1118.86
-1265.30,3263.97,1119.30
-1311.21,3219.72,1119.75
-1357.14,3175.49,1120.19
-1403.08,3131.27,1120.63
-1449.02,3087.06,1121.08
-1494.96,3042.84,1121.52
-1540.90,2998.62,1121.97
-1586.84,2954.40,1122.41
-1632.78,2910.18,1122.85
-1678.72,2865.96,1123.30
-1724.66,2821.74,1123.74
-1770.60,2777.52,1124.19
-1816.54,2733.31,1124.63
-1862.48,2689.09,1125.08
-1908.42,2644.87,1125.52
-1954.36,2600.65,1125.96
-2000.30,2556.43,1126.41
-2046.24,2512.21,1126.85
