x,y,z
-0.00,4995.00,1000.00
0.02,4945.00,1000.00
-0.05,4895.00,1000.00
-0.10,4845.00,1000.00
-0.17,4795.00,1000.00
-0.17,4745.00,1000.00
-0.18,4695.00,1000.00
-0.19,4645.00,1000.00
-0.19,4595.00,1000.00
6.31,4545.63,1000.00
31.53,4502.92,1000.00
69.53,4470.50,1000.00
107.11,4437.59,1000.00
141.50,4401.30,1000.00
177.57,4366.68,1000.00
213.13,4331.54,1000.00
248.90,4296.59,1000.00
284.59,4261.58,1000.00
320.30,4226.59,1000.00
356.04,4191.61,1000.00
391.72,4156.59,1000.00
427.43,4121.59,1000.00
463.16,4086.62,1000.00
498.85,4051.60,1000.00
534.55,4016.60,1000.00
570.28,3981.62,1000.00
605.97,3946.60,1000.00
641.68,3911.60,1000.00
677.41,3876.63,1000.00
713.09,3841.61,1000.00
748.80,3806.61,1000.00
784.53,3771.63,1000.00
820.22,3736.61,1000.00
855.92,3701.61,1000.00
891.65,3666.64,1000.00
927.34,3631.62,1000.00
963.05,3596.62,1000.00
998.78,3561.64,1000.00
1034.46,3526.62,1000.00
1070.17,3491.62,1000.00
1105.90,3456.65,1000.00
1141.59,3421.63,1000.00
1177.29,3386.63,1000.00
1213.02,3351.65,1000.00
1248.71,3316.63,1000.00
1284.42,3281.63,1000.00
1320.15,3246.66,1000.00
1355.83,3211.64,1000.00
1391.54,3176.64,1000.00
1427.27,3141.66,1000.00
1462.96,3106.64,1000.00
1498.66,3071.64,1000.00
1534.39,3036.67,1000.00
1570.08,3001.65,1000.00
1605.79,2966.65,1000.00
1641.52,2931.67,1000.00
1677.20,2896.65,1000.00
1712.91,2861.65,1000.00
1748.64,2826.68,1000.00
1784.33,2791.66,1000.00
1820.03,2756.66,1000.00
1855.76,2721.68,1000.00
1891.45,2686.66,1000.00
1927.16,2651.66,1000.00
1962.89,2616.69,1000.00
1998.57,2581.67,1000.00
2034.28,2546.67,1000.00
2070.01,2511.69,1000.00
2105.70,2476.67,1000.00
2141.40,2441.67,1000.00
2177.14,2406.70,1000.00
2212.82,2371.68,1000.00
2248.53,2336.68,1000.00
2284.26,2301.70,1000.00
2319.95,2266.68,1000.00
2355.65,2231.68,1000.00
2391.38,2196.71,1000.00
2427.07,2161.69,1000.00
2462.78,2126.69,1000.00
2498.51,2091.71,1000.00
2534.19,2056.69,1000.00
2569.90,2021.69,1000.00
2605.63,1986.72,1000.00
2641.32,1951.70,1000.00
2677.02,1916.69,1000.00
2712.76,1881.72,1000.00
2748.44,1846.70,1000.00
2784.15,1811.70,1000.00
2819.88,1776.72,1000.00
2855.57,1741.70,1000.00
2891.27,1706.70,1000.00
2927.00,1671.73,1000.00
2962.69,1636.71,1000.00
2998.40,1601.71,1000.00
3034.13,1566.73,1000.00
3069.81,1531.71,1000.00
3105.52,1496.71,1000.00
3141.25,1461.73,1000.00
3176.94,1426.71,1000.00
3212.64,1391.71,1000.00
3248.38,1356.74,1000.00
3284.06,1321.72,1000.00
3319.77,1286.72,1000.00
3355.50,1251.74,1000.00
3391.19,1216.72,1000.00
3426.89,1181.72,1000.00
3462.62,1146.75,1000.00
3498.31,1111.73,1000.00
3533.97,1076.68,1000.00
3569.61,1041.61,1000.00
3605.25,1006.54,1000.00
3640.89,971.47,1000.00
3676.52,936.40,1000.00
3712.16,901.33,1000.00
3747.80,866.26,1000.00
3783.43,831.19,1000.00
3819.09,796.13,1000.00
3854.75,761.09,1000.00
3890.40,726.02,1000.00
3926.04,690.95,1000.00
3961.67,655.88,1000.00
3997.31,620.81,1000.00
4032.95,585.74,1000.00
4068.59,550.67,1000.00
4104.22,515.60,1000.00
4139.86,480.53,1000.00
4175.50,445.46,1000.00
4211.14,410.39,1000.00
4246.77,375.32,1000.00
4282.41,340.25,1000.00
4318.05,305.18,1000.00
4353.69,270.11,1000.00
4389.32,235.04,1000.00
4424.96,199.97,1000.00
4460.60,164.90,1000.00
4496.23,129.83,1000.00
4531.87,94.75,1000.00
4567.30,59.48,1000.00
4593.28,17.17,1000.00
4598.75,-32.17,1000.00
4592.36,-81.76,1000.00
4590.28,-131.65,1000.00
4591.32,-181.63,1000.00
4590.60,-231.62,1000.00
4589.99,-281.62,1000.00
4589.48,-331.61,1000.00
4589.20,-381.61,1000.00
4588.72,-431.61,1000.00
4588.21,-481.61,1000.00
4587.92,-531.60,1000.00
4587.44,-581.60,1000.00
4586.93,-631.60,1000.00
4586.64,-681.60,1000.00
4586.16,-731.59,1000.00
4585.65,-781.59,1000.00
4585.36,-831.59,1000.00
4584.88,-881.58,1000.00
4584.37,-931.58,1000.00
4584.08,-981.58,1000.00
4583.60,-1031.58,1000.00
4583.09,-1081.57,1000.00
4582.80,-1131.57,1000.00
4582.32,-1181.57,1000.00
4581.81,-1231.56,1000.00
4581.52,-1281.56,1000.00
4581.04,-1331.56,1000.00
4580.53,-1381.55,1000.00
4580.24,-1431.55,1000.00
4579.76,-1481.55,1000.00
4579.25,-1531.54,1000.00
4578.96,-1581.54,1000.00
4578.48,-1631.54,1000.00
4577.97,-1681.53,1000.00
4577.68,-1731.53,1000.00
4577.20,-1781.53,1000.00
4576.69,-1831.52,1000.00
4576.40,-1881.52,1000.00
4575.92,-1931.52,1000.00
4575.41,-1981.51,1000.00
4575.12,-2031.51,1000.00
4574.64,-2081.51,1000.00
4574.13,-2131.50,1000.00
4573.84,-2181.50,1000.00
4573.36,-2231.50,1000.00
4572.85,-2281.49,1000.00
4572.56,-2331.49,1000.00
4572.08,-2381.49,1000.00
4571.57,-2431.48,1000.00
4571.28,-2481.48,1000.00
4570.80,-2531.48,1000.00
4570.29,-2581.47,1000.00
4570.00,-2631.47,1000.00
4569.52,-2681.47,1000.00
4569.01,-2731.46,1000.00
4568.72,-2781.46,1000.00
4568.25,-2831.46,1000.00
4567.73,-2881.45,1000.00
4567.44,-2931.45,1000.00
4566.97,-2981.44,1000.00
4566.46,-3031.44,1000.00
4566.16,-3081.44,1000.00
4565.69,-3131.44,1000.00
4565.18,-3181.43,1000.00
4564.88,-3231.43,1000.00
4564.41,-3281.43,1000.00
4563.90,-3331.42,1000.00
4563.60,-3381.42,1000.00
4563.13,-3431.42,1000.00
4562.62,-3481.42,1000.00
4562.33,-3531.41,1000.00
4561.85,-3581.41,1000.00
4561.34,-3631.41,1000.00
4561.05,-3681.40,1000.00
4560.57,-3731.40,1000.00
4560.06,-3781.40,1000.00
4559.77,-3831.40,1000.00
4559.29,-3881.39,1000.00
4558.78,-3931.39,1000.00
4558.49,-3981.39,1000.00
4558.01,-4031.39,1000.00
4557.50,-4081.38,1000.00
4557.21,-4131.38,1000.00
4556.73,-4181.38,1000.00
4556.22,-4231.37,1000.00
4555.93,-4281.37,1000.00
4555.46,-4331.37,1000.00
4554.94,-4381.36,1000.00
4554.65,-4431.36,1000.00
4554.18,-4481.36,1000.00
4553.67,-4531.36,1000.00
4553.37,-4581.35,1000.00
4552.90,-4631.35,1000.00
4552.39,-4681.35,1000.00
4552.10,-4731.35,1000.00
4551.62,-4781.34,1000.00
4551.11,-4831.34,1000.00
4550.82,-4881.34,1000.00
4550.34,-4931.33,1000.00
4549.83,-4981.33,1000.00
4549.54,-5031.33,1000.00
4549.06,-5081.33,1000.00
4548.55,-5131.32,1000.00
4548.26,-5181.32,1000.00
4547.78,-5231.32,1000.00
4547.27,-5281.31,1000.00
4546.98,-5331.31,1000.00
4546.50,-5381.31,1000.00
