x,y,z
0.01,-19990.00,1000.00
0.05,-19890.00,1000.00
0.07,-19790.00,1000.00
0.07,-19690.00,1000.00
0.07,-19590.00,1000.00
0.07,-19490.00,1000.00
0.08,-19390.00,1000.00
0.07,-19290.00,1000.00
0.08,-19190.00,1000.00
0.07,-19090.00,1000.00
0.08,-18990.00,1000.00
0.07,-18890.00,1000.00
0.08,-18790.00,1000.00
0.07,-18690.00,1000.00
0.08,-18590.00,1000.00
0.07,-18490.00,1000.00
0.08,-18390.00,1000.00
0.07,-18290.00,1000.00
0.08,-18190.00,1000.00
0.07,-18090.00,1000.00
0.08,-17990.00,1000.00
0.07,-17890.00,1000.00
0.08,-17790.00,1000.00
0.07,-17690.00,1000.00
0.08,-17590.00,1000.00
0.07,-17490.00,1000.00
0.08,-17390.00,1000.00
0.07,-17290.00,1000.00
0.08,-17190.00,1000.00
0.07,-17090.00,1000.00
0.08,-16990.00,1000.00
0.07,-16890.00,1000.00
0.08,-16790.00,1000.00
0.07,-16690.00,1000.00
0.08,-16590.00,1000.00
0.07,-16490.00,1000.00
0.08,-16390.00,1000.00
0.07,-16290.00,1000.00
0.08,-16190.00,1000.00
0.07,-16090.00,1000.00
0.08,-15990.00,1000.00
0.07,-15890.00,1000.00
0.08,-15790.00,1000.00
0.07,-15690.00,1000.00
0.08,-15590.00,1000.00
0.07,-15490.00,1000.00
0.08,-15390.00,1000.00
0.07,-15290.00,1000.00
0.08,-15190.00,1000.00
0.07,-15090.00,1000.00
0.08,-14990.00,1000.00
0.07,-14890.00,1000.00
0.08,-14790.00,1000.00
0.07,-14690.00,1000.00
0.08,-14590.00,1000.00
0.07,-14490.00,1000.00
0.08,-14390.00,1000.00
0.07,-14290.00,1000.00
0.08,-14190.00,1000.00
0.07,-14090.00,1000.00
0.08,-13990.00,1000.00
0.07,-13890.00,1000.00
0.08,-13790.00,1000.00
0.07,-13690.00,1000.00
0.08,-13590.00,1000.00
0.07,-13490.00,1000.00
0.08,-13390.00,1000.00
0.07,-13290.00,1000.00
0.08,-13190.00,1000.00
0.07,-13090.00,1000.00
