x,y,z
0.00,-76274.71,4649.93
0.00,-76170.18,4649.92
0.00,-76065.65,4649.90
0.00,-75961.12,4649.86
0.00,-75856.59,4649.83
0.00,-75752.05,4649.79
0.00,-75647.52,4649.75
0.00,-75542.99,4649.71
0.00,-75438.46,4649.67
0.00,-75333.93,4649.63
0.00,-75229.40,4649.59
0.00,-75124.87,4649.55
0.00,-75020.34,4649.52
0.00,-74915.80,4649.48
0.00,-74811.27,4649.44
0.00,-74706.74,4649.40
0.00,-74602.21,4649.36
0.00,-74497.68,4649.32
0.00,-74393.15,4649.28
0.00,-74288.62,4649.24
0.00,-74184.09,4649.20
0.00,-74079.55,4649.16
0.00,-73975.02,4649.12
0.00,-73870.49,4649.09
0.00,-73765.96,4649.05
0.00,-73661.43,4649.01
0.00,-73556.90,4648.97
0.00,-73452.37,4648.93
0.00,-73347.84,4648.89
0.00,-73243.30,4648.85
0.00,-73138.77,4648.81
0.00,-73034.24,4648.77
0.00,-72929.71,4648.73
0.00,-72825.18,4648.69
0.00,-72720.65,4648.66
0.00,-72616.12,4648.62
0.00,-72511.59,4648.58
0.00,-72407.05,4648.54
0.00,-72302.52,4648.50
0.00,-72197.99,4648.46
0.00,-72093.46,4648.42
0.00,-71988.93,4648.38
0.00,-71884.40,4648.34
0.00,-71779.87,4648.30
0.00,-71675.34,4648.27
0.00,-71570.80,4648.23
0.00,-71466.27,4648.19
0.00,-71361.74,4648.15
0.00,-71257.21,4648.11
0.00,-71152.68,4648.07
0.00,-71048.15,4648.03
0.00,-70943.62,4647.99
0.00,-70839.09,4647.95
0.00,-70734.55,4647.91
0.00,-70630.02,4647.87
0.00,-70525.49,4647.84
0.00,-70420.96,4647.80
0.00,-70316.43,4647.76
0.00,-70211.90,4647.72
0.00,-70107.37,4647.68
0.00,-70002.84,4647.64
0.00,-69898.30,4647.60
0.00,-69793.77,4647.56
0.00,-69689.24,4647.52
0.00,-69584.71,4647.48
0.00,-69480.18,4647.44
0.00,-69375.65,4647.41
0.00,-69271.12,4647.37
0.00,-69166.59,4647.33
0.00,-69062.05,4647.29
0.00,-68957.52,4647.25
0.00,-68852.99,4647.21
0.00,-68748.46,4647.17
0.00,-68643.93,4647.13
0.00,-68539.40,4647.09
0.00,-68434.87,4647.05
0.00,-68330.34,4647.02
0.00,-68225.80,4646.98
0.00,-68121.27,4646.94
0.00,-68016.74,4646.90
0.00,-67912.21,4646.86
0.00,-67807.68,4646.82
0.00,-67703.15,4646.78
0.00,-67598.62,4646.74
0.00,-67494.09,4646.70
0.00,-67389.55,4646.66
0.00,-67285.02,4646.62
0.00,-67180.49,4646.59
0.00,-67075.96,4646.55
0.00,-66971.43,4646.51
0.00,-66866.90,4646.47
0.00,-66762.37,4646.43
0.00,-66657.84,4646.39
0.00,-66553.30,4646.35
0.00,-66448.77,4646.31
0.00,-66344.24,4646.27
0.00,-66239.71,4646.23
0.00,-66135.18,4646.19
0.00,-66030.65,4646.16
0.00,-65926.12,4646.12
0.00,-65821.59,4646.08
0.00,-65717.05,4646.04
0.00,-65612.52,4646.00
0.00,-65507.99,4645.96
0.00,-65403.46,4645.92
0.00,-65298.93,4645.88
0.00,-65194.40,4645.84
0.00,-65089.87,4645.80
0.00,-64985.34,4645.77
0.00,-64880.80,4645.73
0.00,-64776.27,4645.69
0.00,-64671.74,4645.65
0.00,-64567.21,4645.61
0.00,-64462.68,4645.57
0.00,-64358.15,4645.53
0.00,-64253.62,4645.49
0.00,-64149.09,4645.45
0.00,-64044.55,4645.41
0.00,-63940.02,4645.37
0.00,-63835.49,4645.34
0.00,-63730.96,4645.30
0.00,-63626.43,4645.26
0.00,-63521.90,4645.22
0.00,-63417.37,4645.18
0.00,-63312.84,4645.14
0.00,-63208.30,4645.10
0.00,-63103.77,4645.06
0.00,-62999.24,4645.02
0.00,-62894.71,4644.98
0.00,-62790.18,4644.94
0.00,-62685.65,4644.91
0.00,-62581.12,4644.87
0.00,-62476.59,4644.83
0.00,-62372.05,4644.79
0.00,-62267.52,4644.75
0.00,-62162.99,4644.71
0.00,-62058.46,4644.67
0.00,-61953.93,4644.63
0.00,-61849.40,4644.59
0.00,-61744.87,4644.55
0.00,-61640.34,4644.52
0.00,-61535.80,4644.48
0.00,-61431.27,4644.44
0.00,-61326.74,4644.40
0.00,-61222.21,4644.36
0.00,-61117.68,4644.32
0.00,-61013.15,4644.28
0.00,-60908.62,4644.24
0.00,-60804.09,4644.20
0.00,-60699.55,4644.16
0.00,-60595.02,4644.12
0.00,-60490.49,4644.09
0.00,-60385.96,4644.05
0.00,-60281.43,4644.01
0.00,-60176.90,4643.97
0.00,-60072.37,4643.93
0.00,-59967.84,4643.89
0.00,-59863.30,4643.85
0.00,-59758.77,4643.81
0.00,-59654.24,4643.77
0.00,-59549.71,4643.73
0.00,-59445.18,4643.69
0.00,-59340.65,4643.66
0.00,-59236.12,4643.62
0.00,-59131.59,4643.58
0.00,-59027.05,4643.54
0.00,-58922.52,4643.50
0.00,-58817.99,4643.46
0.00,-58713.46,4643.42
0.00,-58608.93,4643.38
0.00,-58504.40,4643.34
0.00,-58399.87,4643.30
0.00,-58295.34,4643.27
0.00,-58190.80,4643.23
0.00,-58086.27,4643.19
0.00,-57981.74,4643.15
0.00,-57877.21,4643.11
0.00,-57772.68,4643.07
0.00,-57668.15,4643.03
0.00,-57563.62,4642.99
0.00,-57459.09,4642.95
0.00,-57354.55,4642.91
0.00,-57250.02,4642.87
0.00,-57145.49,4642.84
0.00,-57040.96,4642.80
0.00,-56936.43,4642.76
0.00,-56831.90,4642.72
0.00,-56727.37,4642.68
0.00,-56622.84,4642.64
0.00,-56518.30,4642.60
0.00,-56413.77,4642.56
0.00,-56309.24,4642.52
0.00,-56204.71,4642.48
0.00,-56100.18,4642.44
0.00,-55995.65,4642.41
0.00,-55891.12,4642.37
0.00,-55786.59,4642.33
0.00,-55682.05,4642.29
0.00,-55577.52,4642.25
0.00,-55472.99,4642.21
0.00,-55368.46,4642.17
0.00,-55263.93,4642.13
0.00,-55159.40,4642.09
0.00,-55054.87,4642.05
0.00,-54950.34,4642.02
0.00,-54845.80,4641.98
0.00,-54741.27,4641.94
0.00,-54636.74,4641.90
0.00,-54532.21,4641.86
0.00,-54427.68,4641.82
0.00,-54323.15,4641.78
0.00,-54218.62,4641.74
0.00,-54114.09,4641.70
0.00,-54009.55,4641.66
0.00,-53905.02,4641.62
0.00,-53800.49,4641.59
0.00,-53695.96,4641.55
0.00,-53591.43,4641.51
0.00,-53486.90,4641.47
0.00,-53382.37,4641.43
0.00,-53277.84,4641.39
0.00,-53173.30,4641.35
0.00,-53068.77,4641.31
0.00,-52964.24,4641.27
0.00,-52859.71,4641.23
0.00,-52755.18,4641.19
0.00,-52650.65,4641.16
0.00,-52546.12,4641.12
0.00,-52441.59,4641.08
0.00,-52337.05,4641.04
0.00,-52232.52,4641.00
0.00,-52127.99,4640.96
0.00,-52023.46,4640.92
0.00,-51918.93,4640.88
0.00,-51814.40,4640.84
0.00,-51709.87,4640.80
0.00,-51605.34,4640.77
0.00,-51500.80,4640.73
0.00,-51396.27,4640.69
0.00,-51291.74,4640.65
0.00,-51187.21,4640.61
0.00,-51082.68,4640.57
0.00,-50978.15,4640.53
0.00,-50873.62,4640.49
0.00,-50769.09,4640.45
0.00,-50664.55,4640.41
0.00,-50560.02,4640.37
0.00,-50455.49,4640.34
0.00,-50350.96,4640.30
0.00,-50246.43,4640.26
0.00,-50141.90,4640.22
0.00,-50037.37,4640.18
0.00,-49932.84,4640.14
0.00,-49828.30,4640.10
0.00,-49723.77,4640.06
0.00,-49619.24,4640.02
0.00,-49514.71,4639.98
0.00,-49410.18,4639.94
0.00,-49305.65,4639.91
0.00,-49201.12,4639.87
