x,y,z
1578.56,7364.86,1180.68
1557.91,7268.52,1180.74
1537.26,7172.17,1180.88
1516.61,7075.82,1181.06
1495.96,6979.47,1181.26
1475.31,6883.13,1181.48
1454.65,6786.78,1181.70
1434.00,6690.43,1181.94
1413.35,6594.08,1182.17
1392.70,6497.74,1182.41
1372.05,6401.39,1182.65
1351.40,6305.04,1182.88
1330.75,6208.69,1183.12
1310.10,6112.34,1183.36
1289.45,6016.00,1183.60
1268.80,5919.65,1183.84
1248.15,5823.30,1184.08
1227.50,5726.95,1184.31
1206.85,5630.61,1184.55
1186.20,5534.26,1184.79
1165.55,5437.91,1185.03
1144.90,5341.56,1185.27
1124.24,5245.22,1185.50
1103.59,5148.87,1185.74
1082.94,5052.52,1185.98
1062.29,4956.17,1186.22
1041.64,4859.83,1186.46
1020.99,4763.48,1186.69
1000.34,4667.13,1186.93
979.69,4570.78,1187.17
959.04,4474.43,1187.41
938.39,4378.09,1187.65
917.74,4281.74,1187.88
897.09,4185.39,1188.12
876.44,4089.04,1188.36
855.79,3992.70,1188.60
835.14,3896.35,1188.84
814.48,3800.00,1189.07
793.83,3703.65,1189.31
773.18,3607.31,1189.55
752.53,3510.96,1189.79
731.88,3414.61,1190.03
711.23,3318.26,1190.26
690.58,3221.92,1190.50
669.93,3125.57,1190.74
649.28,3029.22,1190.98
628.63,2932.87,1191.22
607.98,2836.52,1191.45
587.33,2740.18,1191.69
566.68,2643.83,1191.93
546.03,2547.48,1192.17
525.38,2451.13,1192.41
504.73,2354.79,1192.64
484.07,2258.44,1192.88
463.42,2162.09,1193.12
442.77,2065.74,1193.36
422.12,1969.40,1193.60
401.47,1873.05,1193.83
380.82,1776.70,1194.07
360.17,1680.35,1194.31
339.52,1584.00,1194.55
318.87,1487.66,1194.79
298.22,1391.31,1195.02
277.57,1294.96,1195.26
256.92,1198.61,1195.50
236.27,1102.27,1195.74
215.62,1005.92,1195.98
194.97,909.57,1196.21
174.31,813.22,1196.45
153.66,716.88,1196.69
133.01,620.53,1196.93
112.36,524.18,1197.17
91.71,427.83,1197.41
71.06,331.49,1197.64
50.41,235.14,1197.88
29.76,138.79,1198.12
9.11,42.44,1198.36
