x,y,z
0.00,-19990.00,1000.00
-0.02,-19890.00,1000.00
0.05,-19790.00,1000.00
0.10,-19690.00,1000.00
0.11,-19590.00,1000.00
0.11,-19490.00,1000.00
0.11,-19390.00,1000.00
0.11,-19290.00,1000.00
0.11,-19190.00,1000.00
0.12,-19090.00,1000.00
0.12,-18990.00,1000.00
0.12,-18890.00,1000.00
0.12,-18790.00,1000.00
0.12,-18690.00,1000.00
0.13,-18590.00,1000.00
0.13,-18490.00,1000.00
-2.52,-18390.05,1000.00
-14.93,-18290.89,1000.00
-33.73,-18192.67,1000.00
-49.28,-18093.89,1000.00
-66.13,-17995.32,1000.00
-82.77,-17896.72,1000.00
-99.23,-17798.09,1000.00
-115.75,-17699.46,1000.00
-132.16,-17600.82,1000.00
-148.74,-17502.20,1000.00
-165.32,-17403.59,1000.00
-181.74,-17304.95,1000.00
-198.33,-17206.33,1000.00
-214.90,-17107.71,1000.00
-231.33,-17009.07,1000.00
-247.91,-16910.46,1000.00
-264.49,-16811.84,1000.00
-280.91,-16713.20,1000.00
-297.50,-16614.58,1000.00
-314.07,-16515.97,1000.00
-330.50,-16417.33,1000.00
-347.08,-16318.71,1000.00
-363.66,-16220.10,1000.00
-380.08,-16121.45,1000.00
-396.67,-16022.84,1000.00
-413.24,-15924.22,1000.00
-429.67,-15825.58,1000.00
-446.25,-15726.96,1000.00
-462.83,-15628.35,1000.00
-479.25,-15529.71,1000.00
-495.84,-15431.09,1000.00
-512.41,-15332.47,1000.00
-528.84,-15233.83,1000.00
-545.42,-15135.22,1000.00
-562.00,-15036.60,1000.00
-578.42,-14937.96,1000.00
-595.01,-14839.34,1000.00
-611.58,-14740.73,1000.00
-628.01,-14642.08,1000.00
-644.59,-14543.47,1000.00
-661.17,-14444.85,1000.00
-677.59,-14346.21,1000.00
-694.18,-14247.59,1000.00
-710.75,-14148.98,1000.00
-727.18,-14050.33,1000.00
-743.76,-13951.72,1000.00
-760.34,-13853.10,1000.00
-776.76,-13754.46,1000.00
-793.35,-13655.85,1000.00
-809.92,-13557.23,1000.00
-826.35,-13458.59,1000.00
-842.93,-13359.97,1000.00
-859.51,-13261.36,1000.00
-875.93,-13162.71,1000.00
-892.52,-13064.10,1000.00
-909.09,-12965.48,1000.00
-925.52,-12866.84,1000.00
-942.11,-12768.22,1000.00
-958.68,-12669.61,1000.00
-975.11,-12570.96,1000.00
-991.69,-12472.35,1000.00
-1008.26,-12373.73,1000.00
-1024.69,-12275.09,1000.00
-1041.28,-12176.48,1000.00
-1057.85,-12077.86,1000.00
-1074.28,-11979.22,1000.00
-1090.86,-11880.60,1000.00
-1107.44,-11781.99,1000.00
-1123.86,-11683.34,1000.00
-1140.45,-11584.73,1000.00
-1157.02,-11486.11,1000.00
-1173.45,-11387.47,1000.00
-1190.03,-11288.85,1000.00
-1206.60,-11190.23,1000.00
-1223.16,-11091.61,1000.00
-1239.65,-10992.98,1000.00
-1256.20,-10894.35,1000.00
-1272.72,-10795.73,1000.00
-1289.27,-10697.11,1000.00
-1305.79,-10598.48,1000.00
-1322.35,-10499.86,1000.00
-1338.87,-10401.24,1000.00
-1355.42,-10302.61,1000.00
-1371.95,-10203.99,1000.00
-1388.50,-10105.37,1000.00
-1405.02,-10006.74,1000.00
-1421.58,-9908.12,1000.00
-1438.10,-9809.50,1000.00
-1454.65,-9710.88,1000.00
-1471.18,-9612.25,1000.00
-1487.73,-9513.63,1000.00
-1504.25,-9415.00,1000.00
-1520.81,-9316.38,1000.00
-1537.33,-9217.76,1000.00
-1553.88,-9119.14,1000.00
-1570.41,-9020.51,1000.00
-1586.96,-8921.89,1000.00
-1603.48,-8823.27,1000.00
-1620.04,-8724.65,1000.00
-1636.56,-8626.02,1000.00
-1653.11,-8527.40,1000.00
-1669.64,-8428.77,1000.00
-1686.19,-8330.15,1000.00
-1702.71,-8231.53,1000.00
-1719.27,-8132.91,1000.00
-1735.79,-8034.28,1000.00
-1752.34,-7935.66,1000.00
-1768.87,-7837.03,1000.00
-1785.42,-7738.41,1000.00
-1801.94,-7639.78,1000.00
-1818.50,-7541.16,1000.00
-1835.02,-7442.53,1000.00
-1851.58,-7343.91,1000.00
-1868.10,-7245.29,1000.00
-1884.65,-7146.66,1000.00
-1901.18,-7048.04,1000.00
-1917.73,-6949.42,1000.00
-1934.25,-6850.79,1000.00
-1950.81,-6752.17,1000.00
-1967.33,-6653.54,1000.00
-1983.88,-6554.92,1000.00
-2000.41,-6456.29,1000.00
-2016.96,-6357.67,1000.00
-2033.48,-6259.04,1000.00
-2050.04,-6160.42,1000.00
-2066.56,-6061.79,1000.00
-2083.11,-5963.17,1000.00
-2099.64,-5864.55,1000.00
-2116.19,-5765.92,1000.00
-2132.71,-5667.30,1000.00
-2149.27,-5568.68,1000.00
-2165.79,-5470.05,1000.00
-2182.35,-5371.43,1000.00
-2198.87,-5272.80,1000.00
-2215.42,-5174.18,1000.00
-2231.95,-5075.55,1000.00
