x,y,z
0.00,-7493.74,1103.59
0.00,-7429.97,1103.61
0.00,-7366.21,1103.65
0.00,-7302.44,1103.71
0.00,-7238.68,1103.77
0.00,-7174.91,1103.83
0.00,-7111.15,1103.90
0.00,-7047.38,1103.97
0.00,-6983.62,1104.05
0.00,-6919.85,1104.12
0.00,-6856.09,1104.19
0.00,-6792.32,1104.26
0.00,-6728.56,1104.33
0.00,-6664.80,1104.41
0.00,-6601.03,1104.48
0.00,-6537.27,1104.55
0.00,-6473.50,1104.62
0.00,-6409.74,1104.69
0.00,-6345.97,1104.77
0.00,-6282.21,1104.84
0.00,-6218.44,1104.91
0.00,-6154.68,1104.98
0.00,-6090.91,1105.05
0.00,-6027.15,1105.13
0.00,-5963.38,1105.20
0.00,-5899.62,1105.27
0.00,-5835.85,1105.34
0.00,-5772.09,1105.41
0.00,-5708.33,1105.49
0.00,-5644.56,1105.56
0.00,-5580.80,1105.63
0.00,-5517.03,1105.70
0.00,-5453.27,1105.78
0.00,-5389.50,1105.85
0.00,-5325.74,1105.92
0.00,-5261.97,1105.99
0.00,-5198.21,1106.06
0.00,-5134.44,1106.14
0.00,-5070.68,1106.21
0.00,-5006.91,1106.28
0.00,-4943.15,1106.35
0.00,-4879.39,1106.42
0.00,-4815.62,1106.50
0.00,-4751.86,1106.57
0.00,-4688.09,1106.64
0.00,-4624.33,1106.71
0.00,-4560.56,1106.78
0.00,-4496.80,1106.86
0.00,-4433.03,1106.93
0.00,-4369.27,1107.00
0.00,-4305.50,1107.07
0.00,-4241.74,1107.14
0.00,-4177.97,1107.22
0.00,-4114.21,1107.29
0.00,-4050.44,1107.36
0.00,-3986.68,1107.43
0.00,-3922.92,1107.50
0.00,-3859.15,1107.58
0.00,-3795.39,1107.65
0.00,-3731.62,1107.72
0.00,-3667.86,1107.79
0.00,-3604.09,1107.86
0.00,-3540.33,1107.94
0.00,-3476.56,1108.01
0.00,-3412.80,1108.08
0.00,-3349.03,1108.15
0.00,-3285.27,1108.22
0.00,-3221.50,1108.30
0.00,-3157.74,1108.37
0.00,-3093.98,1108.44
0.00,-3030.21,1108.51
0.00,-2966.45,1108.58
0.00,-2902.68,1108.66
0.00,-2838.92,1108.73
0.00,-2775.15,1108.80
0.00,-2711.39,1108.87
0.00,-2647.62,1108.94
0.00,-2583.86,1109.02
0.00,-2520.09,1109.09
0.00,-2456.33,1109.16
0.00,-2392.56,1109.23
0.00,-2328.80,1109.30
0.00,-2265.03,1109.38
0.00,-2201.27,1109.45
0.00,-2137.51,1109.52
0.00,-2073.74,1109.59
0.00,-2009.98,1109.66
0.00,-1946.21,1109.74
0.00,-1882.45,1109.81
0.00,-1818.68,1109.88
0.00,-1754.92,1109.95
0.00,-1691.15,1110.02
0.00,-1627.39,1110.10
0.00,-1563.62,1110.17
0.00,-1499.86,1110.24
0.00,-1436.09,1110.31
0.00,-1372.33,1110.38
0.00,-1308.56,1110.46
0.00,-1244.80,1110.53
0.00,-1181.04,1110.60
0.00,-1117.27,1110.67
0.00,-1053.51,1110.74
0.00,-989.74,1110.82
0.00,-925.98,1110.89
0.00,-862.21,1110.96
0.00,-798.45,1111.03
0.00,-734.68,1111.10
0.00,-670.92,1111.18
0.00,-607.15,1111.25
0.00,-543.39,1111.32
0.00,-479.62,1111.39
0.00,-415.86,1111.46
0.00,-352.10,1111.54
0.00,-288.33,1111.61
0.00,-224.57,1111.68
0.00,-160.80,1111.75
0.00,-97.04,1111.82
0.00,-33.27,1111.90
