x,y,z
1578.56,7364.86,1180.68
1557.91,7268.52,1180.74
1537.26,7172.17,1180.88
1516.61,7075.82,1181.06
1495.96,6979.47,1181.26
1475.31,6883.13,1181.48
1454.65,6786.78,1181.70
1434.00,6690.43,1181.94
1413.35,6594.08,1182.17
1392.70,6497.74,1182.41
1372.05,6401.39,1182.65
1351.40,6305.04,1182.88
1330.75,6208.69,1183.12
1310.10,6112.34,1183.36
1289.45,6016.00,1183.60
1268.80,5919.65,1183.84
1248.15,5823.30,1184.08
1227.50,5726.95,1184.31
1206.85,5630.61,1184.55
1186.20,5534.26,1184.79
1165.55,5437.91,1185.03
1144.90,5341.56,1185.27
1124.24,5245.22,1185.50
1103.59,5148.87,1185.74
1082.94,5052.52,1185.98
1062.29,4956.17,1186.22
1041.64,4859.83,1186.46
1020.99,4763.48,1186.69
1000.34,4667.13,1186.93
979.69,4570.78,1187.17
959.04,4474.43,1187.41
933.24,4379.42,1187.60
889.16,4291.57,1187.73
824.44,4217.57,1187.83
746.00,4158.15,1187.91
661.81,4106.96,1187.97
580.23,4051.75,1188.02
499.71,3994.95,1188.07
418.38,3939.33,1188.12
337.23,3883.44,1188.16
255.99,3827.67,1188.20
174.78,3771.87,1188.24
93.57,3716.06,1188.29
12.36,3660.26,1188.33
-68.85,3604.45,1188.37
-150.06,3548.65,1188.42
-231.27,3492.84,1188.46
-312.48,3437.04,1188.50
-393.69,3381.23,1188.54
-474.90,3325.42,1188.59
-556.11,3269.62,1188.63
-637.32,3213.81,1188.67
-718.53,3158.01,1188.71
-799.74,3102.20,1188.76
-880.95,3046.40,1188.80
-962.16,2990.59,1188.84
-1043.37,2934.78,1188.88
-1124.58,2878.98,1188.92
-1205.79,2823.17,1188.97
-1287.01,2767.37,1189.01
-1368.22,2711.56,1189.05
-1449.43,2655.76,1189.09
-1530.64,2599.95,1189.13
-1611.85,2544.14,1189.17
-1693.06,2488.34,1189.21
-1774.27,2432.53,1189.26
-1855.48,2376.73,1189.30
-1936.69,2320.92,1189.34
-2017.90,2265.12,1189.38
-2099.12,2209.31,1189.42
-2180.33,2153.50,1189.46
-2261.54,2097.70,1189.51
-2342.75,2041.89,1189.55
